antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Organic Raspberries', 'Organic Hass Avocado'})",frozenset({'Bag of Organic Bananas'}),0.007797703002216401,0.11955470481563571,0.003677211364094298,0.4715762273901809,3.9444388919482054,1.0,0.0027449592834243195,1.666172759101951,0.7523450798514162,0.029732811990876504,0.39982214056903137,0.2511668951899923
frozenset({'Non Fat Raspberry Yogurt'}),frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),0.004724964739069111,0.005802941769091276,0.0021962522667741285,0.464818763326226,80.10053897180762,1.0,0.002168833571532301,1.857682949443411,0.9922038175486587,0.26360338573155984,0.46169501082000314,0.42164549277422414
frozenset({'Total 2% Lowfat Greek Strained Yogurt with Peach'}),frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),0.006316743904896232,0.009601047753374975,0.0028007253677211365,0.4433811802232855,46.180499421787324,1.0,0.0027400780078443874,1.779312730827031,0.9845650838326834,0.21351766513056833,0.437985249768209,0.36754578423546225
frozenset({'Total 2% Lowfat Greek Strained Yogurt With Blueberry'}),frozenset({'Total 2% with Strawberry Lowfat Greek Strained Yogurt'}),0.006639129558734636,0.009601047753374975,0.0029316945395929882,0.44157814871016693,45.99270413533176,1.0,0.0028679519396587337,1.7735676889416463,0.9847956066887789,0.22028766086298263,0.43616473944857614,0.37346483511059236
"frozenset({'Organic Avocado', 'Cucumber Kirby'})",frozenset({'Banana'}),0.004684666532339311,0.1486903082812815,0.0020350594398549264,0.4344086021505376,2.9215663560852607,1.0,0.0013384949289663923,1.5051673256623728,0.6608135458011615,0.013446944481427239,0.33562203819436887,0.22404758314044937
"frozenset({'Apple Honeycrisp Organic', 'Organic Hass Avocado'})",frozenset({'Bag of Organic Bananas'}),0.004795486600846262,0.11955470481563571,0.0020149103364900263,0.42016806722689076,3.514441927440901,1.0,0.0014415873514785152,1.5184491322744835,0.7189073129251701,0.01647039446594746,0.34143332249655206,0.21851076319969295
"frozenset({'Organic Raspberries', 'Organic Baby Spinach'})",frozenset({'Bag of Organic Bananas'}),0.005591376183759823,0.11955470481563571,0.002155954060044328,0.38558558558558553,3.2251811936652244,1.0,0.0014874787308817466,1.432982811810329,0.6938193058045615,0.01752948885976409,0.3021549234518236,0.20180939345007767
frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),frozenset({'Non Fat Raspberry Yogurt'}),0.005802941769091276,0.004724964739069111,0.0021962522667741285,0.3784722222222222,80.10053897180762,1.0,0.002168833571532301,1.6013363695818328,0.9932796333696399,0.26360338573155984,0.37552158372501315,0.42164549277422414
"frozenset({'Organic Hass Avocado', 'Organic Lemon'})",frozenset({'Bag of Organic Bananas'}),0.006981664315937941,0.11955470481563571,0.0026395325408019345,0.37806637806637805,3.162287746428641,1.0,0.0018048417243881167,1.4156579804240474,0.688580681780603,0.021304277118230606,0.2936146909577275,0.20007220479117335
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.027594197058230907,0.1486903082812815,0.010326415474511384,0.3742241694048923,2.5168027003949867,1.0,0.006223425807148599,1.3604067944093172,0.6197726110910782,0.06222303162751168,0.2649257530103739,0.2218366595381396
frozenset({'Bartlett Pears'}),frozenset({'Banana'}),0.011132379609107394,0.1486903082812815,0.004049969776344952,0.36380090497737555,2.4467022039470354,1.0,0.002394692820362522,1.3381183632278577,0.5979431202197966,0.025999223903764062,0.25268195439171487,0.19551926135107683
frozenset({'Gala Apples'}),frozenset({'Banana'}),0.007142857142857143,0.1486903082812815,0.0025790852307072333,0.3610719322990127,2.42834880411952,1.0,0.0015170116001266512,1.33240302743614,0.5924291816546763,0.016828819353142253,0.2494763375581354,0.1892086404499332
"frozenset({'Organic Strawberries', 'Organic Avocado'})",frozenset({'Banana'}),0.007293975418093895,0.1486903082812815,0.002629457989119484,0.36049723756906077,2.4244837591371344,1.0,0.001544914535607014,1.331205651845253,0.5918580586841162,0.01714623571147024,0.24880126627028049,0.18909068125488745
"frozenset({'Bag of Organic Bananas', 'Organic Lemon'})",frozenset({'Organic Hass Avocado'}),0.007344348176506145,0.0659983880717308,0.0026395325408019345,0.3593964334705076,5.445533504240968,1.0,0.002154817399714973,1.4580025162649,0.822403279752077,0.037332573382730126,0.3141301274556147,0.19969516376624144
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.025236751964537577,0.1486903082812815,0.009006649204110416,0.3568862275449102,2.400198316017873,1.0,0.005254188774485088,1.3237310848885102,0.5984712303510666,0.05461209529627367,0.24455955487044867,0.208729718555977
